question,index,options,answer
A1,A1,6,4
A2,A2,6,5
A3,A3,6,1
A4,A4,6,2
A5,A5,6,6
A6,A6,6,3
A7,A7,6,6
A8,A8,6,2
A9,A9,6,1
A10,A10,6,3
A11,A11,6,4
A12,A12,6,5
set1_1,A13,8,8
set1_2,A14,8,4
set1_3,A15,8,5
set1_4,A16,8,1
B1,B1,6,2
B2,B2,6,6
B3,B3,6,1
B4,B4,6,2
B5,B5,6,1
B6,B6,6,3
B7,B7,6,5
B8,B8,6,6
B9,B9,6,4
B10,B10,6,3
B11,B11,6,4
B12,B12,6,5
C1,C1,8,8
C2,C2,8,2
set2_10,C20,8,4
C3,C3,8,3
C4,C4,8,8
C5,C5,8,7
C6,C6,8,4
set2_4,C17,8,4
C7,C7,8,5
C8,C8,8,1
C9,C9,8,7
C10,C10,8,6
C11,C11,8,1
C12,C12,8,2
set2_26,C24,8,2
set2_32,C27,8,8
D1,D1,8,3
D2,D2,8,4
D3,D3,8,3
D4,D4,8,7
D5,D5,8,8
D6,D6,8,6
D7,D7,8,5
D8,D8,8,4
set2_17,D18,8,6
D9,D9,8,1
set1_9,D15,8,7
D10,D10,8,2
D11,D11,8,5
set2_27,D19,8,7
D12,D12,8,6
set2_34,D21,8,1
E1,E1,8,7
E2,E2,8,6
E3,E3,8,8
E4,E4,8,2
E5,E5,8,1
E6,E6,8,5
E7,E7,8,1
E8,E8,8,6
E9,E9,8,3
E10,E10,8,2
set1_11,E14,8,6
set2_30,E28,8,5
E11,E11,8,4
set2_8,E17,8,1
E12,E12,8,5
set2_33,E25,8,5
test1,test1,6,3
test2,test2,6,5
test3,test3,8,2
test4,test4,8,7
test5,test5,8,4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
set1_1,A13,8,8
set1_2,A14,8,4
set1_3,A15,8,5
set1_4,A16,8,1
set1_5,C13,8,2
set1_6,C14,8,5
set1_7,D13,8,6
set1_8,D14,8,3
set1_9,D15,8,7
set1_10,E13,8,8
set1_11,E14,8,6
set1_12,E15,8,6
set2_1,D16,8,5
set2_2,C15,8,1
set2_3,C16,8,7
set2_4,C17,8,4
set2_5,C18,8,3
set2_6,C19,8,1
set2_7,E16,8,6
set2_8,E17,8,1
set2_9,E18,8,8
set2_10,C20,8,4
set2_11,E19,8,5
set2_12,E20,8,6
set2_13,D17,8,2
set2_14,C21,8,1
set2_15,E21,8,2
set2_16,E22,8,4
set2_17,D18,8,6
set2_18,F1,8,7
set2_19,F2,8,3
set2_20,F3,8,8
set2_21,F4,8,8
set2_22,E23,8,7
set2_23,E24,8,6
set2_24,C22,8,3
set2_25,C23,8,7
set2_26,C24,8,2
set2_27,D19,8,7
set2_28,,8,5
set2_29,D20,8,6
set2_30,E28,8,5
set2_31,C26,8,4
set2_32,C27,8,8
set2_33,E25,8,5
set2_34,D21,8,1
set2_35,E26,8,3
set2_36,E27,8,2
