subject id,session,task time,bad channels,Note
1,rest,pre,,
1,rest,post,T8,
1,task,pre,,
1,task,post,,
2,rest,pre,,
2,rest,post,C4,
2,task,pre,,
2,task,post,"C3,C4",
3,rest,pre,,
3,rest,post,,
3,task,pre,,
3,task,post,,
4,rest,pre,,
4,rest,post,,
4,task,pre,,
4,task,post,,
5,rest,pre,,
5,rest,post,,
5,task,pre,Fz,
5,task,post,,
6,rest,pre,,
6,rest,post,P8,
6,task,pre,,
6,task,post,P8,
7,rest,pre,,
7,rest,post,,
7,task,pre,,
7,task,post,,
8,rest,pre,,
8,rest,post,,
8,task,pre,,
8,task,post,,
9,rest,pre,,
9,rest,post,,
9,task,pre,,
9,task,post,,
10,rest,pre,,
10,rest,post,,
10,task,pre,,
10,task,post,,
11,rest,pre,"C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,PO3,PO4,O1,O2",
11,rest,post,,
11,task,pre,"C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,PO3,PO4,O1,O2",
11,task,post,,
12,rest,pre,,
12,rest,post,,
12,task,pre,,
12,task,post,P3,
13,rest,pre,F3,
13,rest,post,,
13,task,pre,F3,
13,task,post,,
14,rest,pre,,
14,rest,post,,
14,task,pre,PO3,
14,task,post,,
15,rest,pre,,
15,rest,post,,
15,task,pre,,
15,task,post,,
16,rest,pre,,
16,rest,post,,
16,task,pre,,
16,task,post,,
17,rest,pre,"F3,FC2,P7,PO3,O1",
17,rest,post,,"F3,FC1,P7,P3,O1"
17,task,pre,P7,"F3,FC2,P7,PO3,O1,O2"
17,task,post,,"FC1,P3,O1"
18,rest,pre,"CP5,P4",
18,rest,post,,
18,task,pre,"CP5,P4",
18,task,post,"P3,P8",
19,rest,pre,,
19,rest,post,,
19,task,pre,,
19,task,post,,
20,rest,pre,,
20,rest,post,,
20,task,pre,P4,
20,task,post,,
21,rest,pre,,
21,rest,post,P8,
21,task,pre,,"FC5,T7, P8,O2"
21,task,post,,"T7,P8"
22,rest,pre,T7,
22,rest,post,,
22,task,pre,,"F3,F7,FC6,T7"
22,task,post,,
23,rest,pre,,
23,rest,post,,
23,task,pre,,
23,task,post,,
24,rest,pre,,
24,rest,post,,
24,task,pre,,
24,task,post,,
25,rest,pre,PO4,
25,rest,post,PO4,
25,task,pre,,PO4
25,task,post,,
26,rest,pre,,
26,rest,post,,
26,task,pre,,
26,task,post,O2,
