subject id,session,task time,n_components,remove_ic
1,rest,pre,30,
1,rest,post,30,
1,task,pre,30,
1,task,post,30,
2,rest,pre,30,
2,rest,post,30,
2,task,pre,30,
2,task,post,30,
3,rest,pre,30,
3,rest,post,30,
3,task,pre,30,
3,task,post,30,
4,rest,pre,30,
4,rest,post,30,
4,task,pre,30,
4,task,post,30,
5,rest,pre,30,
5,rest,post,30,
5,task,pre,30,
5,task,post,30,
6,rest,pre,30,
6,rest,post,30,
6,task,pre,30,
6,task,post,30,
7,rest,pre,30,
7,rest,post,30,
7,task,pre,30,
7,task,post,30,
8,rest,pre,30,
8,rest,post,30,
8,task,pre,30,
8,task,post,30,
9,rest,pre,30,
9,rest,post,30,
9,task,pre,30,
9,task,post,30,
10,rest,pre,30,
10,rest,post,30,
10,task,pre,30,
10,task,post,30,
11,rest,pre,30,
11,rest,post,30,
11,task,pre,30,
11,task,post,30,
12,rest,pre,30,
12,rest,post,30,
12,task,pre,30,
12,task,post,30,
13,rest,pre,30,
13,rest,post,30,
13,task,pre,30,
13,task,post,30,
14,rest,pre,30,
14,rest,post,30,
14,task,pre,30,
14,task,post,30,
15,rest,pre,30,
15,rest,post,30,
15,task,pre,30,
15,task,post,30,
16,rest,pre,30,
16,rest,post,30,
16,task,pre,30,
16,task,post,30,
17,rest,pre,30,
17,rest,post,30,
17,task,pre,30,
17,task,post,30,
18,rest,pre,30,
18,rest,post,30,
18,task,pre,30,
18,task,post,30,
19,rest,pre,30,
19,rest,post,30,
19,task,pre,30,
19,task,post,30,
20,rest,pre,30,
20,rest,post,30,
20,task,pre,30,
20,task,post,30,
21,rest,pre,30,
21,rest,post,30,
21,task,pre,30,
21,task,post,30,
22,rest,pre,30,
22,rest,post,30,
22,task,pre,30,
22,task,post,30,
23,rest,pre,30,
23,rest,post,30,
23,task,pre,30,
23,task,post,30,
24,rest,pre,30,
24,rest,post,30,
24,task,pre,30,
24,task,post,30,
25,rest,pre,30,
25,rest,post,30,
25,task,pre,30,
25,task,post,30,
26,rest,pre,30,
26,rest,post,30,
26,task,pre,30,
26,task,post,30,
